Model,Centre,Dice_LV_ED,Dice_MYO_ED,Dice_RV_ED,Dice_LV_ES,Dice_MYO_ES,Dice_RV_ES
spatial_w_elastic,1,0.9218201040590224,0.8123408700512529,0.8463346687893742,0.8573620804814949,0.6875341180633511,0.7461710609179802
DiceLoss,2,0.9333605618245585,0.7947847209580401,0.8779100889049363,0.8770109025856233,0.6646070228303085,0.7878881455066129
DiceLoss_modified,2,0.09086396553668101,0.11360157579120764,0.0,0.04766075041278348,0.06085844176180661,0.0
all_transforms,2,0.8773637761302675,0.7516779078389352,0.8114900846932088,0.7851847250561163,0.6070227330405856,0.6953284206807613
benchmark,2,0.9327473074170016,0.8068710817492315,0.8869887569471007,0.8754941125260066,0.6801519451129945,0.8009386445844555
improved_transforms,2,0.92864534532457,0.8107819204342881,0.8851066708799439,0.8699655589080949,0.6858239598763894,0.7982183067669077
intensity_w_bias,2,0.9145753786665807,0.7910043967228512,0.8662304939773978,0.8452285507407563,0.6582752475818824,0.7721805035649536
intensity_w_bias_gamma,2,0.9295125519998393,0.7984984446946665,0.8904586549133479,0.8705281927626545,0.6688341948554349,0.8071719725504404
simple_intensity,2,0.9138866458977861,0.7874035519527494,0.8887728818447532,0.8450686373945008,0.6544391173420215,0.805514629564777
simple_spatial,2,0.8589219122697488,0.723291858755518,0.8361162120600588,0.7628478252675727,0.575481061679486,0.7262659488837734
simple_spatial_bigger_batch,2,0.9295054122329721,0.8196875467386643,0.8505040792604236,0.8696524856461162,0.6973343917213807,0.7513437501363075
simple_spatial_intensity,2,0.9191243095064705,0.7652979403146614,0.838667618776852,0.85208571888412,0.6240663687883267,0.7336177949679747
simple_spatial_lower_lr,2,0.9245861633165673,0.8007680634752934,0.8798140942491857,0.8616017904658696,0.6715730883853341,0.790612736258788
simple_spatial_smaller_batch,2,0.9247103133073753,0.7938938963040567,0.8901281429669433,0.8614935628276726,0.6616481227673134,0.8054468025668109
simple_spatial_with_blur,2,0.8922898027219601,0.7578415083336998,0.8556602124021484,0.8101991893133569,0.6157685432850044,0.7560240895936631
simple_spatial_with_gaussian_smooth,2,0.8279241007396446,0.7292339736550404,0.8330347705499515,0.718627673908841,0.5807239903208788,0.7259960014365415
spatial_w_T00_R02,2,0.9208101861685026,0.7925891302457077,0.885550385740799,0.8558171829011304,0.6610773912639603,0.7988343925482901
spatial_w_T00_R03,2,0.8639067247899077,0.6670112631069418,0.7907090564683497,0.7635393993819608,0.504926117634256,0.6693300425204906
spatial_w_T05_R01,2,0.9134704512041659,0.7774852307225224,0.8516877643261513,0.8445909469461097,0.6426066121408738,0.7524328940702342
spatial_w_T10_R02,2,0.9053435083225515,0.7798796790460352,0.7376835631097516,0.831111134631831,0.6458543749461995,0.6210140047807713
spatial_w_T15_R03,2,0.8994595933501148,0.7626799849005406,0.8237754579222347,0.8202069229784578,0.6225765491620355,0.7167880773644111
spatial_w_elastic,2,0.9121019336625972,0.7543201316026724,0.7783838284188145,0.8409162233875999,0.6133028136577933,0.6587742255339998
DiceLoss,3,0.9472676144570147,0.8145612036404815,0.8968991789558183,0.9007210651905436,0.6889258155581279,0.8158550397439456
DiceLoss_modified,3,0.09018100333552213,0.12528150867188997,0.0,0.04734212870854176,0.06746116614091718,0.0
all_transforms,3,0.91900508902595,0.7996180826347671,0.8634808064107274,0.8521621688225034,0.6677075964416233,0.7648315912054773
benchmark,3,0.9437777188393285,0.8128511952057192,0.899899275921621,0.8946742040620589,0.6859594507493959,0.8211311861524664
improved_transforms,3,0.9424470479280597,0.8090874034823335,0.8976786134957087,0.8920468472576405,0.6804141423034676,0.8173040211520279
intensity_w_bias,3,0.9408526700178345,0.7957891623456419,0.8786679828255464,0.8890450930362999,0.6624981613395203,0.789265410090588
intensity_w_bias_gamma,3,0.9501177955429781,0.818106992940186,0.9108735288247805,0.9057837992398317,0.693505600079692,0.839340835303539
simple_intensity,3,0.9450792341831633,0.8207090319354923,0.8965965907720318,0.8970591174340847,0.6975905659956265,0.8169634743771867
simple_spatial,3,0.9310638921869214,0.7927011670438929,0.8816362500787909,0.8725479486975931,0.6592067286118355,0.7925903144993484
simple_spatial_bigger_batch,3,0.9308341940984705,0.8078274921799588,0.8921650019742497,0.8710808292417878,0.6788282136911661,0.8094829814905717
simple_spatial_intensity,3,0.9410661327030755,0.7660803967844545,0.8803450252953683,0.8892635275448822,0.6235722322278718,0.7897534695510683
simple_spatial_lower_lr,3,0.9451843450157725,0.812469719010084,0.8997796374656053,0.896697232412717,0.6857696343728051,0.8205091752207164
simple_spatial_smaller_batch,3,0.9511093607671725,0.8155411000135296,0.9129182605222981,0.9073763898666365,0.6897296928680517,0.843012087177124
simple_spatial_with_blur,3,0.9223399661076506,0.7784165965459854,0.8466675200604229,0.8584761308409593,0.6420569544541385,0.7423436478751478
simple_spatial_with_gaussian_smooth,3,0.9126629927659597,0.7821644690629337,0.8831362031251244,0.8421339344481993,0.6442660174886293,0.794684356930517
spatial_w_T00_R02,3,0.9412931635170603,0.8119494871546705,0.9097085098919437,0.889969542465912,0.6850438219497537,0.8372417719090871
spatial_w_T00_R03,3,0.929602629983891,0.7551230778718873,0.8533790660219279,0.8696055876409746,0.6088327065287992,0.7517493104086039
spatial_w_T05_R01,3,0.9358021738815089,0.8035727957445808,0.8966857241939293,0.8803612775177171,0.6737439660616761,0.8168581807149707
