SubjectID,Centre,Dice_BG_ED,Dice_LV_ED,Dice_MYO_ED,Dice_RV_ED,Dice_BG_ES,Dice_LV_ES,Dice_MYO_ES,Dice_RV_ES,IoU_BG_ED,IoU_LV_ED,IoU_MYO_ED,IoU_RV_ED,IoU_BG_ES,IoU_LV_ES,IoU_MYO_ES,IoU_RV_ES
A1D9Z7,0,0.9937030764657596,0.8957984236330913,0.8711170379667399,0.917910447761194,0.9874849591865494,0.8112634892086331,0.7716628448335765,0.8482758620689655,0.9919152539243331,0.8416582406471182,0.8557989745328192,0.8490960705214403,0.983960185674588,0.7266061452513967,0.747944596696541,0.7377645073348046
A2C0I1,0,0.9967130792056608,0.9704814105527306,0.8886730134058675,0.956933926816579,0.9934476953178323,0.9426555484284798,0.7996503496503496,0.9174240744845932,0.9962549648042295,0.9074991740997688,0.8594594594594595,0.9371277299801456,0.9925378755272446,0.8306622316298761,0.7535545023696683,0.8816936488169365
A2L1N6,0,0.9967227701516009,0.9620921305182342,0.868191047938554,0.941290209175602,0.9934669506076715,0.9269533055940823,0.7670826833073323,0.8890918147102773,0.9971223777010523,0.9386172325735364,0.8305209097578871,0.9335824698488194,0.9942612693015301,0.8843343432543219,0.7101631116687579,0.8754380375915897
A4B5U4,0,0.9930696102277576,0.9745177209510991,0.8628696702608385,0.8935222672064778,0.9862346199049372,0.950301863680112,0.7588133459238275,0.8075375045737285,0.9934061182574857,0.9729395832838375,0.8626953567383918,0.8034414295168762,0.9868986254295533,0.9473051121906084,0.7585437743965586,0.6714601769911505
A4J4S4,0,0.9948802632113917,0.9690117823333106,0.8397837837837838,0.9407345575959933,0.9898126828054017,0.9398863786497555,0.7238166231830041,0.888100866824271,0.9972561397924569,0.9273570324574961,0.8715853373803408,0.9194789816459443,0.9945272959198669,0.8645533141210374,0.7723980964204428,0.8509589041095891
A6B5G9,0,0.9956488354235987,0.9250236518448439,0.8314549829049006,0.927017178552837,0.991335372069317,0.8605060506050605,0.711530125704378,0.8639627401513681,0.9958487733324138,0.8672040729741196,0.8017429193899782,0.9011345218800648,0.9917318695484492,0.7655430711610487,0.6690909090909091,0.8200589970501475
A6D5F9,0,0.9939681159981951,0.9776378566096524,0.8601907032181169,0.9478595590808352,0.9880085629536687,0.9562539682539682,0.7546794938826727,0.9008869179600887,0.995028627136263,0.9716699988683088,0.8718580581567275,0.9379877485944449,0.9901064388539333,0.94490095377843,0.7728265618173875,0.8832174462705437
A7O4T6,0,0.9945902407257189,0.9599020508111418,0.858480231052684,0.9387469373468673,0.9892386975074006,0.9228958210712184,0.7520502530099459,0.8845646437994723,0.9953525377229081,0.9339945684260244,0.8016696180116367,0.9286119439267483,0.9907480734255613,0.8761630482941959,0.6689888114840616,0.8667372560883376
B0H7V0,0,0.9962508584545413,0.9757218143326877,0.8997074801504388,0.9555438642641063,0.9925297240310738,0.95259454705365,0.8176984428408659,0.9148721823447928,0.9972086799073476,0.9626922281221985,0.8933474128827877,0.9383829275623685,0.9944328993745288,0.9280680760537162,0.8072519083969466,0.8839184597961495
B2C2Z7,0,0.9955216894447654,0.9544519541580958,0.8344100646038762,0.9537598204264871,0.9910833105938163,0.9128724002248454,0.7158693115519253,0.9116069512980047,0.9969380465425021,0.9497982546682932,0.8362264150943396,0.9277402952967635,0.993894786963171,0.9043959971408149,0.7185473411154345,0.8652197701987963
