SubjectID,Centre,Dice_BG_ED,Dice_LV_ED,Dice_MYO_ED,Dice_RV_ED,Dice_BG_ES,Dice_LV_ES,Dice_MYO_ES,Dice_RV_ES,IoU_BG_ED,IoU_LV_ED,IoU_MYO_ED,IoU_RV_ED,IoU_BG_ES,IoU_LV_ES,IoU_MYO_ES,IoU_RV_ES
B3O1S0,0,0.9870270979102856,0.8996282527881041,0.8222847714257984,0.8513937840435758,0.9743864775396224,0.8175675675675675,0.6982033954178342,0.741240794465521,0.9954424116153395,0.8987854251012146,0.8337457287616354,0.8828687344588405,0.9909261779765377,0.8161764705882353,0.7148918973530006,0.7902999062792877
B3P3R1,0,0.9869541228887214,0.9528111256388921,0.87614399023795,0.8403111616117472,0.9742442520994624,0.9098751418842225,0.7795874049945711,0.7246005426590293,0.9904187074325105,0.6648501362397821,0.8456235011990407,0.8275229357798165,0.9810192747468147,0.49795918367346936,0.7325370033757466,0.7057902973395931
B8J7R4,0,0.9918169480609099,0.9313154831199069,0.845996791599825,0.905273937532002,0.9837667337824195,0.8714596949891068,0.7330974346012891,0.8269410664172123,0.9956576690191068,0.9397363465160076,0.8695200138624155,0.8811667723525681,0.9913528866663377,0.8863232682060391,0.7691600245248313,0.7875765132622988
B9E0Q1,0,0.9926931754672849,0.9304442592473876,0.8058203712995484,0.8801407153027891,0.9854923557455203,0.8699352673219851,0.6747899159663866,0.7859386686611818,0.9923434597788554,0.8077537058152794,0.7857889237199582,0.7943490701001431,0.9848032739023075,0.6775057383320582,0.6471600688468159,0.6588549391871849
B9H8N8,0,0.9925618520904627,0.9000718907260963,0.8071729023688289,0.9327025789714635,0.9852335392997144,0.8183006535947712,0.6766889383815887,0.8738919073491564,0.9932613434945016,0.7865483418963102,0.7289992695398101,0.9041992882562278,0.98661289807051,0.6481909160892995,0.5735632183908046,0.8251493894518057
C0K1P0,0,0.9949978738166111,0.939696431013264,0.8423180592991913,0.9197411003236245,0.9900455410927635,0.8862522568996647,0.7275902211874272,0.8514080287597364,0.9964010783245411,0.9141221374045801,0.8464634847613571,0.8630887185104053,0.9928279682296774,0.8418277680140598,0.7337986041874377,0.7591522157996147
C1K8P5,0,0.9931517911027118,0.9302105831533477,0.845086801229338,0.8864550737594993,0.9863967401704207,0.8695268138801262,0.7317318757192175,0.7960658370132477,0.996479356964112,0.8748912476074474,0.8530159698911606,0.8629473355211752,0.9929834168129573,0.7776059387565728,0.7437034409365023,0.7589334799340297
C2J0K3,0,0.9852383590267593,0.929610564010743,0.8057909976309555,0.6554241127611377,0.9709061904250084,0.868478829064297,0.6747487215658614,0.48745788094346687,0.9876179650969178,0.7061010647287477,0.7871711197226188,0.6708160442600276,0.9755388095082752,0.5457157784743991,0.6490372488018162,0.5046826222684704
C4E9I1,0,0.9812906922235534,0.8947542065324975,0.7866799487690337,0.5653771004298555,0.9632686034502153,0.8095522388059702,0.648369692704668,0.3940945739812595,0.9909995593145224,0.7580142883311962,0.7697086229847656,0.6426437640029873,0.9821596892874239,0.6103244837758112,0.6256311613368598,0.4734525447042641
C5M4S2,0,0.9924075253651212,0.9245748582860953,0.8393969486323012,0.9313953488372093,0.9849294733217812,0.8597296291702841,0.7232420659614188,0.8715995647442872,0.9956036886124813,0.8633153302866639,0.8245573695102323,0.867046818727491,0.9912458631365432,0.7595029239766082,0.7014866979655712,0.7652980132450331
C6E0F9,0,0.9955068511466861,0.9454930035795639,0.8491107286288009,0.926463912846119,0.9910538984592517,0.8966208918376793,0.7377866400797607,0.8630021141649049,0.9971895342847458,0.8959810874704491,0.8750661725780836,0.8665651953323186,0.994394821730845,0.8115631691648822,0.7778823529411765,0.7645478961504029
C6J5P1,0,0.9887078645175494,0.9461660497091486,0.8271200053543939,0.820664831674783,0.9776679060654151,0.897832195905259,0.7052042912577037,0.6958707360861759,0.9913849094285314,0.9232365145228216,0.8079675894665767,0.9088294047143428,0.9829169905308726,0.8574181117533719,0.6778067293531211,0.8328939660222613
D0R0R9,0,0.9907314310301678,0.9293871336124857,0.8820839133028435,0.8816837315130831,0.9816330969678514,0.8680888888888889,0.7890430451796514,0.7884028484231943,0.9921809515469205,0.8414941948510853,0.8575136257461718,0.6987546280713565,0.9844832294744159,0.7263616557734205,0.7505679236710586,0.5369891360579411
D1H6U2,0,0.9841322568090491,0.9459092452189657,0.8487339254938353,0.649747541854903,0.9687602184490895,0.8973698336017176,0.7372178719484108,0.4812044873056485,0.9918767981045862,0.7824657534246575,0.8022238425082027,0.5600679694137638,0.983884505623636,0.6426642664266426,0.66976107137422,0.3889544489025254
D1J5P6,0,0.9804200992833462,0.9068969104337876,0.7937786590655596,0.7815347458557471,0.9615922191033949,0.829653597259231,0.6580704818658173,0.6414091359581945,0.9887802991734755,0.8632281241981011,0.7777114724750112,0.778573077811129,0.9778095683512614,0.7593679458239277,0.6362748687904308,0.637429111531191
D1M1S6,0,0.9748451461103552,0.7946127946127947,0.668499298737728,0.6620970171738475,0.9509247724005749,0.659217877094972,0.5020645487486306,0.49487670307397813,0.9803329439807033,0.7396992481203007,0.6527650753002866,0.6574818216609262,0.9614245534300668,0.5869228015749911,0.4845220854453295,0.48973774230330674
D3F3O5,0,0.9879833467241254,0.9004621704895583,0.8041298997538868,0.9166208539490562,0.9762520641592665,0.818946057445318,0.6724224475454271,0.8460757780784844,0.9903083062107093,0.8915476649942107,0.8062185524448459,0.6567796610169492,0.9808026670935194,0.8043175487465181,0.6753485356100724,0.4889589905362776
D3O9U9,0,0.9894064539572065,0.9005398920215957,0.787141858839972,0.9145690312738368,0.9790350015903527,0.8190746398952422,0.648997464853653,0.842586085734364,0.9905129042796472,0.7706070287539936,0.8585817340411052,0.47710330138445156,0.98120412680742,0.6268191268191268,0.7522060577152397,0.3132867132867133
D4M3Q2,0,0.9807851955991387,0.8936892946234276,0.7778274474742959,0.7236078886310905,0.9622948875587485,0.8078104010746497,0.6364301389904902,0.5669166098613951,0.9915167559111967,0.8930830654360676,0.830411220911699,0.7911598423847868,0.9831762319532276,0.8068203110361626,0.7100027255382938,0.6544784580498866
