SubjectID,Centre,Dice_BG_ED,Dice_LV_ED,Dice_MYO_ED,Dice_RV_ED,Dice_BG_ES,Dice_LV_ES,Dice_MYO_ES,Dice_RV_ES,IoU_BG_ED,IoU_LV_ED,IoU_MYO_ED,IoU_RV_ED,IoU_BG_ES,IoU_LV_ES,IoU_MYO_ES,IoU_RV_ES
A1D9Z7,0,0.9900007358411891,0.89323783204557,0.8026907583401776,0.8292187599162277,0.9801994624874526,0.8070729718711781,0.6704122296988306,0.7082610581092801,0.9880168303538391,0.7770423125261835,0.7867508678014303,0.8231696959402073,0.9763174526897502,0.6353795560427514,0.6484660461909686,0.6994803695150116
A2C0I1,0,0.9933406629714657,0.964155084125823,0.8455954834662605,0.8918036902221664,0.9867694327493323,0.9307909604519774,0.7324949541996585,0.8047343980065692,0.9928471554309084,0.8355628058727569,0.8169955110136757,0.7802718937717357,0.9857959105062113,0.7175679462034183,0.6906106600776561,0.6397096941420425
A2L1N6,0,0.9918192826379507,0.9046412530231487,0.8299753125746595,0.866512790921331,0.9837713274591197,0.825885816423089,0.70936564116526,0.7644663159680978,0.9939524870490994,0.8779489005608475,0.8084496272223284,0.8390761075350246,0.9879776792387026,0.7824500158679785,0.678485480506979,0.7227658186562296
A4B5U4,0,0.9831400873371515,0.9318192438899014,0.8009747452370403,0.7057247259439707,0.9668392618237895,0.8723422871642313,0.6680215800753825,0.5452663278750235,0.9849887479541735,0.9389788905252823,0.7671878540675278,0.5661300183411453,0.9704215061348921,0.8849766344329801,0.622307183295346,0.3948266060261512
A4J4S4,0,0.975078611505025,0.9018051973814719,0.7083940845657155,0.5250815480913339,0.9513691707974398,0.8211705202312138,0.5484599258184164,0.3560071727435744,0.9909860629534539,0.8417890520694259,0.7919853495637186,0.6135303265940902,0.9821331763306849,0.7268011527377521,0.6556090601034421,0.44251261918115536
A6B5G9,0,0.9877964540640111,0.8029066295042803,0.7631768211240111,0.8422028985507246,0.9758871701546861,0.6707134541826043,0.61704602093371,0.727418385740036,0.9948249231700133,0.8805205047318612,0.836816261276693,0.5106547849670671,0.9897031334157083,0.7865445579429376,0.7194188101315531,0.3428720083246618
A6D5F9,0,0.9909594070475217,0.9678225965651115,0.8592575723069916,0.8765455583032148,0.9820808141602605,0.9376514088996557,0.75324416051108,0.780223501523874,0.9936852414379461,0.9642610629649513,0.8541555909976962,0.883622214361514,0.987449734770705,0.9309885227693447,0.745437673987009,0.7915082382762991
A7O4T6,0,0.9731556780249568,0.8136908473636805,0.7425977102250296,0.27953266983989616,0.9477149137399709,0.6859011797687186,0.5905808477237049,0.16247484909456741,0.9771760196333003,0.7093123385410259,0.5769174792606607,0.0,0.9553706584812043,0.549561570720549,0.40539987727551646,0.0
B0H7V0,0,0.9898345178854945,0.9654123226990022,0.8599700540329406,0.7907806922241192,0.9798736300249997,0.9331372718622957,0.7543398812243033,0.6539596970863817,0.9956763971169162,0.9592005513439008,0.8694111811804719,0.8880358285348688,0.9913900203665987,0.9215997881075354,0.7689897217347706,0.7986191024165707
B2C2Z7,0,0.9917358501681023,0.8956404224435658,0.8106109324758842,0.9009237456982431,0.9836071731137607,0.8110043509789703,0.6815355501486888,0.8197099538562953,0.9941571219536808,0.9257998638529612,0.805505685218432,0.7695202257761053,0.9883821257298794,0.861850443599493,0.6743486973947895,0.6253822629969419
B3F0V9,0,0.9900329087215985,0.9411088767595519,0.7903273957607723,0.8225267379679144,0.9802625424838639,0.8887683125339121,0.6533399144455413,0.698552370139086,0.9919237476697336,0.8840106793236429,0.7160330578512397,0.8430966283669241,0.9839769019226524,0.7921318447634237,0.5576725025746653,0.7287528492347769
B3O1S0,0,0.9867957065148405,0.9460279854890057,0.8571134020618557,0.7726123595505618,0.9739355753423821,0.8975835908963192,0.7499548980696373,0.6294770568714956,0.9913233891760163,0.8194398682042834,0.8043111284248798,0.7941559380876609,0.9827960503279721,0.6941110801004745,0.6726759339704604,0.6585892514395394
B3P3R1,0,0.982927446056493,0.9586680638025381,0.8781935483870967,0.747605083088954,0.9664280510228863,0.9206171735241503,0.7828387393604785,0.5969403684046206,0.9869806004469346,0.8503750493485985,0.8146324305311291,0.3875919411576591,0.9742958534480003,0.7396978021978022,0.6872403560830861,0.24038080126933756
