External code,Vendor,Centre,Dice_BG,Dice_LV,Dice_RV,Dice_MYO,IoU_BG,IoU_LV,IoU_RV,IoU_MYO,HD_BG,HD_LV,HD_RV,HD_MYO
A0S9V9,F,6,0.9944360256195068,0.9708637595176697,0.8900848031044006,0.9509677886962891,0.9889335632324219,0.9433772563934326,0.8019394278526306,0.9065191149711609,3.0,4.0,4.0,2.8284271247461903
A1D0Q7,B,2,0.9746206402778625,0.8985605835914612,0.7622480392456055,0.7851154804229736,0.950497567653656,0.8158057332038879,0.6158326268196106,0.6462470293045044,9.0,7.0,9.055385138137417,13.19090595827292
A1D9Z7,F,6,0.9918215870857239,0.933883547782898,0.9002851843833923,0.9274553656578064,0.9837758541107178,0.8759676814079285,0.8186532855033875,0.8647242188453674,4.0,4.0,3.605551275463989,8.06225774829855
A1E9Q1,F,6,0.9935368895530701,0.9652048945426941,0.8906214237213135,0.9520899057388306,0.9871568083763123,0.9327498078346252,0.8028110861778259,0.9085606932640076,4.0,4.123105625617661,4.0,8.12403840463596
A1K2P5,D,5,0.9848964214324951,0.9204807281494141,0.818623960018158,0.8976403474807739,0.9702422618865967,0.852676510810852,0.6929410099983215,0.8142898678779602,4.0,6.324555320336759,9.9498743710662,8.06225774829855
A1O8Z3,B,3,0.9880080819129944,0.9514293074607849,0.8155961036682129,0.9246460199356079,0.9763003587722778,0.9073582291603088,0.6886131167411804,0.8598527312278748,4.0,44.41846462902562,25.475478405713993,43.64630568559039
A2C0I1,F,6,0.9971104860305786,0.9788789749145508,0.9472862482070923,0.9749349355697632,0.9942376017570496,0.9586316347122192,0.8998516798019409,0.951095700263977,4.0,2.0,2.0,3.605551275463989
A2E3W4,C,4,,,,,,,,,,,,
A2H5K9,B,2,0.9813134074211121,0.9156506657600403,0.8272783756256104,0.8680206537246704,0.9633123278617859,0.8444240689277649,0.7054345607757568,0.7668166756629944,4.0,6.164414002968976,8.774964387392123,7.681145747868608
A2L1N6,F,6,0.9968449473381042,0.978385329246521,0.9345363974571228,0.962952733039856,0.9937097430229187,0.9576852917671204,0.8771171569824219,0.9285524487495422,3.0,2.0,2.0,3.0
A2N8V0,A,1,0.9898855090141296,0.9464012384414673,0.8186368942260742,0.9414010047912598,0.979973554611206,0.8982558250427246,0.6929595470428467,0.8892895579338074,2.23606797749979,37.656340767525464,31.78049716414141,6.0
A3B7E5,B,2,0.9871929883956909,0.9213021993637085,0.8027918338775635,0.885875940322876,0.9747098684310913,0.8540874123573303,0.6705532073974609,0.7951322197914124,5.0,26.038433132583073,28.460498941515414,10.295630140987
A3H1O5,F,6,0.9962742924690247,0.9753918051719666,0.9341781735420227,0.9693516492843628,0.9925762414932251,0.9519656896591187,0.8764862418174744,0.9405260682106018,2.23606797749979,2.23606797749979,2.23606797749979,3.0
A3H5R1,C,4,0.9871155619621277,0.8893258571624756,0.7896607518196106,0.7961284518241882,0.97455894947052,0.8007082343101501,0.6524292826652527,0.6613067984580994,3.1622776601683795,10.0,8.306623862918075,8.660254037844387
A3P9V7,D,5,0.9855197668075562,0.9134923219680786,0.7970326542854309,0.737700343132019,0.9714528918266296,0.8407601714134216,0.6625555157661438,0.5844098329544067,3.0,6.708203932499369,8.06225774829855,25.179356624028344
A4A8V9,B,3,0.9877116084098816,0.9216246604919434,0.8456819653511047,0.8224716186523438,0.9757215976715088,0.854641854763031,0.7326247692108154,0.6984728574752808,4.0,6.782329983125268,12.328828005937952,17.029386365926403
A4B5U4,F,6,0.9907020330429077,0.9787635803222656,0.9043111801147461,0.874056339263916,0.9815754294395447,0.9584103226661682,0.8253358006477356,0.7762877941131592,5.0,2.23606797749979,2.8284271247461903,42.49705872175156
A4B9O6,D,5,0.9836626648902893,0.9192439913749695,0.812200665473938,0.8309612274169922,0.9678505659103394,0.8505564332008362,0.6837860941886902,0.7108072638511658,3.0,6.324555320336759,5.385164807134504,10.04987562112089
A4J4S4,F,6,0.9971436262130737,0.9793844819068909,0.9476335644721985,0.9763091802597046,0.9943035244941711,0.9596018195152283,0.9004786610603333,0.9537148475646973,2.449489742783178,2.0,2.0,4.123105625617661
A4K8R4,D,5,0.9816546440124512,0.9324674606323242,0.8263662457466125,0.8755173087120056,0.9639702439308167,0.8734791874885559,0.7041091322898865,0.7785956263542175,3.0,4.123105625617661,28.61817604250837,19.4164878389476
A4R4T0,D,5,0.9825778007507324,0.9163828492164612,0.7716624140739441,0.8905250430107117,0.9657522439956665,0.8456702828407288,0.6282168626785278,0.802654504776001,8.0,13.638181696985855,11.532562594670797,8.94427190999916
A4U9V5,A,1,0.9919217228889465,0.9661240577697754,0.8792414665222168,0.9202419519424438,0.9839729070663452,0.9344680309295654,0.7845057249069214,0.8522668480873108,3.605551275463989,2.23606797749979,9.273618495495704,13.0
A5C2D2,B,3,0.990395188331604,0.9482899308204651,0.8122625350952148,0.9450251460075378,0.9809731245040894,0.9016647338867188,0.6838737726211548,0.8957797288894653,4.0,3.0,11.704699910719626,5.744562646538029
A5D0G0,B,2,0.977737545967102,0.8943461179733276,0.8212546706199646,0.7908761501312256,0.9564447402954102,0.8088843822479248,0.6967192888259888,0.6540902256965637,3.7416573867739413,5.830951894845301,7.3484692283495345,15.132745950421556
A5E0T8,B,3,0.9772890210151672,0.9518243074417114,0.8231765031814575,0.7957727909088135,0.9555866718292236,0.9080770611763,0.6994901895523071,0.6608161330223083,4.0,6.4031242374328485,32.7566787083184,22.891046284519195
A5H1Q2,C,4,0.9789673686027527,0.9292295575141907,0.8275462985038757,0.8705046772956848,0.95880126953125,0.8678139448165894,0.7058243155479431,0.7707023620605469,6.4031242374328485,3.605551275463989,31.04834939252005,9.0
A5P5W0,D,5,0.9801688194274902,0.9063175320625305,0.7635616660118103,0.7707319855690002,0.9611088633537292,0.8286843299865723,0.6175493597984314,0.6269845366477966,7.0,9.539392014169456,7.874007874011811,18.867962264113206
A5Q1W8,D,5,0.9845751523971558,0.9019810557365417,0.797858715057373,0.9152306318283081,0.9696189761161804,0.8214621543884277,0.6636980175971985,0.8437098860740662,4.0,3.7416573867739413,9.899494936611665,11.090536506409418
A6A8H0,D,5,0.9859033226966858,0.9018597602844238,0.8269944787025452,0.9190152287483215,0.972198486328125,0.8212609887123108,0.705021858215332,0.8501648902893066,3.0,11.180339887498949,6.324555320336759,7.483314773547883
