External code,Vendor,Centre,Dice_BG,Dice_LV,Dice_MYO,Dice_RV,IoU_BG,IoU_LV,IoU_MYO,IoU_RV,HD_BG,HD_LV,HD_MYO,HD_RV
A0S9V9,F,6,0.9927720427513123,0.9576389789581299,0.8506264686584473,0.9411919713020325,0.9856477975845337,0.9187210202217102,0.740078330039978,0.8889166116714478,2.8284271247461903,3.1622776601683795,5.0990195135927845,4.47213595499958
A1D0Q7,B,2,0.9799906015396118,0.8591935634613037,0.7693780660629272,0.7960851192474365,0.9607663154602051,0.7531457543373108,0.6251945495605469,0.6612470149993896,9.0,8.06225774829855,9.055385138137417,12.206555615733702
A1D9Z7,A,1,0.9637613892555237,0.7794114947319031,0.6658686399459839,0.7983461618423462,0.9300573468208313,0.6385538578033447,0.49910274147987366,0.6643728017807007,5.0,18.788294228055936,11.180339887498949,54.92722457943783
A1E9Q1,F,6,0.9933668375015259,0.9541596174240112,0.8747389912605286,0.9471151828765869,0.9868211150169373,0.9123376607894897,0.7773654460906982,0.899543046951294,4.0,6.324555320336759,4.47213595499958,7.14142842854285
A1K2P5,D,5,0.9864400625228882,0.925493597984314,0.8193314671516418,0.8995568156242371,0.9732429385185242,0.8613197207450867,0.6939555406570435,0.8174495697021484,4.0,9.0,10.295630140987,11.090536506409418
A1O8Z3,B,3,0.9779356122016907,0.9574205279350281,0.8182825446128845,0.8178225159645081,0.9568238258361816,0.918319046497345,0.6924519538879395,0.6917933821678162,4.0,4.0,7.0,16.30950643030009
A2C0I1,F,6,0.9955145120620728,0.9722930788993835,0.9220413565635681,0.9640525579452515,0.9910690188407898,0.9460801482200623,0.8553587794303894,0.9305999279022217,4.0,3.1622776601683795,2.8284271247461903,4.0
A2E3W4,C,4,,,,,,,,,,,,
A2H5K9,B,2,0.9780275821685791,0.8561843633651733,0.8102373480796814,0.8657980561256409,0.9569999575614929,0.7485334873199463,0.6810075640678406,0.7633544206619263,4.0,9.1104335791443,18.466185312619388,6.48074069840786
A2L1N6,F,6,0.9951114058494568,0.9699426293373108,0.9082886576652527,0.9436662197113037,0.9902703166007996,0.9416394829750061,0.831986129283905,0.8933410048484802,3.0,2.449489742783178,3.605551275463989,4.47213595499958
