External code,Vendor,Centre,Dataset,Dice_BG,Dice_LV,Dice_MYO,Dice_RV,IoU_BG,IoU_LV,IoU_MYO,IoU_RV,HD_BG,HD_LV,HD_MYO,HD_RV
A0S9V9,A,1,Train,0.9926204085350037,0.9648901224136353,0.8672258853912354,0.9354141354560852,0.9853489398956299,0.9321620464324951,0.7655770182609558,0.8786647915840149,4.0,3.605551275463989,5.0,4.47213595499958
A1D0Q7,B,2,Train,0.9905744791030884,0.8912723064422607,0.8703932166099548,0.8830411434173584,0.9813249707221985,0.8038694858551025,0.7705276608467102,0.7905762195587158,3.605551275463989,8.0,4.47213595499958,45.58508528016593
A1D9Z7,A,1,Train,0.9872199296951294,0.9133326411247253,0.8706700205802917,0.8885011076927185,0.9747623205184937,0.8404895663261414,0.770961582660675,0.7993720173835754,4.69041575982343,6.708203932499369,5.385164807134504,10.44030650891055
A1E9Q1,A,1,Train,0.9931954145431519,0.9566299319267273,0.8790447115898132,0.9471394419670105,0.9864828586578369,0.9168654084205627,0.7841924428939819,0.8995867371559143,4.0,4.358898943540674,4.123105625617661,9.055385138137417
A1K2P5,D,5,Test,0.9877063632011414,0.9185183048248291,0.8526334762573242,0.927227795124054,0.9757113456726074,0.8493146896362305,0.7431222200393677,0.8643287420272827,4.0,5.0990195135927845,9.9498743710662,6.324555320336759
A1O8Z3,B,3,Train,0.9938391447067261,0.9621389508247375,0.8775725364685059,0.9656747579574585,0.987753689289093,0.927040159702301,0.7818523049354553,0.933627724647522,4.0,3.0,3.0,3.0
A2C0I1,A,1,Train,0.9957109689712524,0.9667385220527649,0.917460560798645,0.9600648283958435,0.991458535194397,0.9356184601783752,0.8475077748298645,0.9231968522071838,4.0,3.1622776601683795,2.23606797749979,4.0
A2E3W4,C,4,,,,,,,,,,,,,
A2H5K9,B,2,Test,0.9834328293800354,0.9317412376403809,0.8320840001106262,0.9041969776153564,0.9674056172370911,0.8722056150436401,0.7124519348144531,0.8251454830169678,3.3166247903554,6.4031242374328485,26.739483914241877,5.0990195135927845
A2L1N6,A,1,Test,0.9861379861831665,0.9135081171989441,0.8235030174255371,0.9058452248573303,0.9726550579071045,0.840786874294281,0.6999619007110596,0.8278949856758118,3.0,11.874342087037917,11.0,29.017236257093817
A2N8V0,A,1,Train,0.9930052161216736,0.9642835855484009,0.8622147440910339,0.9484915137290955,0.986107587814331,0.9310305714607239,0.7578009963035583,0.9020293951034546,4.242640687119285,4.123105625617661,11.090536506409418,3.605551275463989
