External code,Vendor,Centre,Dice_BG,Dice_LV,Dice_MYO,Dice_RV,IoU_BG,IoU_LV,IoU_MYO,IoU_RV,HD_BG,HD_LV,HD_MYO,HD_RV
A0S9V9,F,6,0.9940290451049805,0.9517293572425842,0.8501034379005432,0.9389181733131409,0.9881289601325989,0.9079042673110962,0.7392868399620056,0.8848687410354614,2.0,4.123105625617661,5.477225575051661,5.0
A1D0Q7,B,2,0.9727643728256226,0.9099634885787964,0.7521500587463379,0.7642099261283875,0.9469729065895081,0.8348009586334229,0.6027567982673645,0.6183978915214539,9.0,6.0,9.0,12.36931687685298
A1D9Z7,A,1,0.9721434116363525,0.810889482498169,0.6969607472419739,0.8077760338783264,0.9457967281341553,0.6819294691085815,0.5348731875419617,0.6775371432304382,5.0,19.026297590440446,12.409673645990857,25.573423705088842
A1E9Q1,F,6,0.9936240911483765,0.9537340402603149,0.8813278079032898,0.9491869807243347,0.9873290061950684,0.9115598797798157,0.7878338098526001,0.9032881855964661,4.0,4.242640687119285,4.0,9.055385138137417
A1K2P5,D,5,0.9873512387275696,0.9207806587219238,0.7813346982002258,0.9060831069946289,0.9750184416770935,0.8531913757324219,0.6411396861076355,0.8282924890518188,4.0,9.055385138137417,10.04987562112089,9.055385138137417
A1O8Z3,B,3,0.991220235824585,0.9529328346252441,0.8419236540794373,0.9451550245285034,0.982593297958374,0.9100971817970276,0.7270018458366394,0.8960132002830505,4.0,4.123105625617661,5.196152422706632,3.0
A2C0I1,F,6,0.9959700107574463,0.9627699851989746,0.9227813482284546,0.9599858522415161,0.9919723868370056,0.928212583065033,0.8566333055496216,0.9230507612228394,4.0,3.605551275463989,2.8284271247461903,4.47213595499958
A2E3W4,C,4,,,,,,,,,,,,
A2H5K9,B,2,0.9821960926055908,0.8752472996711731,0.8454614281654358,0.9091644883155823,0.9650150537490845,0.7781686782836914,0.7322937250137329,0.8334569931030273,4.0,9.0,4.58257569495584,6.0
A2L1N6,F,6,0.9956565499305725,0.9695932865142822,0.912361741065979,0.9477182030677795,0.9913506507873535,0.9409812092781067,0.8388466835021973,0.9006316065788269,3.0,3.1622776601683795,3.1622776601683795,3.605551275463989
A2N8V0,F,6,0.9957874417304993,0.9609504342079163,0.9044934511184692,0.9577509164810181,0.9916102290153503,0.9248360395431519,0.825639545917511,0.9189270734786987,3.0,3.0,3.0,7.14142842854285
A3B7E5,B,2,0.989380419254303,0.9074151515960693,0.8275981545448303,0.933113694190979,0.978983998298645,0.8305214047431946,0.705899715423584,0.8746140003204346,5.0,14.035668847618199,12.083045973594572,9.643650760992955
A3H1O5,F,6,0.9944818615913391,0.9609338045120239,0.8991563320159912,0.9565297961235046,0.9890243411064148,0.9248051643371582,0.8167884349822998,0.9166815280914307,2.8284271247461903,5.385164807134504,3.1622776601683795,3.605551275463989
A3H5R1,C,4,0.9885320067405701,0.9052113890647888,0.8132777810096741,0.8166432976722717,0.9773240089416504,0.8268367052078247,0.6853143572807312,0.6901074647903442,3.0,57.21013896155121,5.744562646538029,8.306623862918075
A3P9V7,D,5,0.9843865633010864,0.8716606497764587,0.7325215935707092,0.6952078342437744,0.9692532420158386,0.7725164294242859,0.5779361724853516,0.532811164855957,3.0,7.615773105863909,8.246211251235321,82.516664983505
A4A8V9,B,3,0.9870564341545105,0.8613624572753906,0.7971131801605225,0.8371144533157349,0.9744436740875244,0.7564852237701416,0.6626667976379395,0.7198597192764282,4.0,28.635642126552707,21.470910553583888,35.79106033634656
A4B5U4,F,6,0.9873539209365845,0.961155354976654,0.8507680892944336,0.8547239303588867,0.9750236868858337,0.9252157211303711,0.7402927875518799,0.7463038563728333,5.0,3.605551275463989,8.48528137423857,8.48528137423857
A4B9O6,D,5,0.9777494668960571,0.8271892070770264,0.6884795427322388,0.8122832775115967,0.9564675688743591,0.7053049206733704,0.5249476432800293,0.683903157711029,3.3166247903554,44.204072210600685,34.713109915419565,42.74342054632502
