External code,Vendor,Centre,Dice_BG,Dice_LV,Dice_RV,Dice_MYO,IoU_BG,IoU_LV,IoU_RV,IoU_MYO,HD_BG,HD_LV,HD_RV,HD_MYO
A0S9V9,A,1,0.9939530491828918,0.9721585512161255,0.8800889253616333,0.9395521879196167,0.9879787564277649,0.9458253979682922,0.7858560681343079,0.885995626449585,3.1622776601683795,4.123105625617661,5.0,5.830951894845301
A1D0Q7,B,2,0.9706750512123108,0.9203218221664429,0.7980102896690369,0.703797459602356,0.9430210590362549,0.8524038195610046,0.6639077663421631,0.54296875,8.0,5.0,9.055385138137417,17.233687939614086
A1D9Z7,A,1,0.9909093976020813,0.913050651550293,0.9124454259872437,0.929837167263031,0.9819825291633606,0.8400121927261353,0.8389882445335388,0.8688744306564331,4.0,7.0710678118654755,5.0,5.0990195135927845
A1E9Q1,A,1,0.9910406470298767,0.9613612294197083,0.8580948710441589,0.9319856762886047,0.9822404384613037,0.9255973100662231,0.7514589428901672,0.8726341128349304,3.0,4.123105625617661,5.385164807134504,10.63014581273465
A1K2P5,D,5,0.9881535768508911,0.9207296967506409,0.7989931106567383,0.9263128638267517,0.9765845537185669,0.8531038761138916,0.6652693748474121,0.8627399802207947,4.0,7.0,10.295630140987,11.224972160321824
A1O8Z3,B,3,0.9865601658821106,0.9400699734687805,0.841013491153717,0.8976489901542664,0.973476767539978,0.886916995048523,0.7256456017494202,0.8143041729927063,4.0,3.605551275463989,3.7416573867739413,8.0
A2C0I1,A,1,0.9928900599479675,0.9458739757537842,0.8950563073158264,0.9565991759300232,0.9858805537223816,0.8973063826560974,0.810046911239624,0.9168089032173157,4.0,10.344080432788601,5.656854249492381,6.4031242374328485
A2E3W4,C,4,,,,,,,,,,,,
A2H5K9,B,2,0.9682244062423706,0.7181228995323181,0.7077527642250061,0.7884666919708252,0.9384059906005859,0.5602119565010071,0.5476914048194885,0.6508007049560547,5.0,11.045361017187261,9.9498743710662,14.89966442575134
A2L1N6,A,1,0.9948627352714539,0.9644367694854736,0.8965076804161072,0.9438076615333557,0.9897779822349548,0.9313161373138428,0.8124276995658875,0.89359450340271,3.0,2.449489742783178,5.385164807134504,4.47213595499958
A2N8V0,A,1,0.9950740337371826,0.9659043550491333,0.8956485390663147,0.954978883266449,0.9901963472366333,0.9340571165084839,0.8110176920890808,0.9138369560241699,3.0,2.23606797749979,3.1622776601683795,5.477225575051661
A3B7E5,B,2,0.9670853614807129,0.7616693377494812,0.6112242341041565,0.5006188154220581,0.9362684488296509,0.615077555179596,0.4401172995567322,0.3338836431503296,5.0,8.54400374531753,8.602325267042627,10.488088481701515
A3H1O5,A,1,0.9888178110122681,0.9135680198669434,0.8678811192512512,0.9475181698799133,0.977882981300354,0.8408883810043335,0.7665988802909851,0.900270402431488,3.0,4.47213595499958,3.605551275463989,5.0990195135927845
A3H5R1,C,4,0.9901670813560486,0.8714433312416077,0.7649722099304199,0.8801843523979187,0.9805256724357605,0.7721750736236572,0.6193967461585999,0.7860082387924194,3.0,11.045361017187261,6.4031242374328485,7.0
A3P9V7,D,5,0.9862862825393677,0.8951023817062378,0.7927795648574829,0.702899158000946,0.9729435443878174,0.8101224303245544,0.6566982865333557,0.5419001579284668,3.0,8.246211251235321,6.708203932499369,8.06225774829855
A4A8V9,B,3,0.9810521006584167,0.8412114977836609,0.7845312356948853,0.8115345239639282,0.9628088474273682,0.725940465927124,0.6454557180404663,0.6828423142433167,4.0,8.12403840463596,8.717797887081348,17.4928556845359
A4B5U4,A,1,0.992333173751831,0.9782845973968506,0.9131826758384705,0.9056228399276733,0.9847830533981323,0.9574922919273376,0.8402356505393982,0.8275235295295715,2.0,4.0,5.744562646538029,14.0
A4B9O6,D,5,0.969928503036499,0.8155720829963684,0.7287557721138,0.780528724193573,0.9416127800941467,0.6885789036750793,0.5732617974281311,0.6400550007820129,4.0,14.352700094407323,7.280109889280518,11.0
A4J4S4,A,1,0.9927881360054016,0.9665043354034424,0.8874276876449585,0.9483166337013245,0.9856796264648438,0.9351798892021179,0.7976360321044922,0.9017130732536316,2.0,3.0,5.0990195135927845,5.0990195135927845
